произошедшие по субботам, апрель 2024;;;;;;;; 
;ДТП;;Погибло;;Ранено;;Тяжесть последствий ;
;aбc;± % к АППГ;aбc;± % к АППГ;aбc;± % к АППГ;
1;2;3;4;5;6;7;8
Российская Федерация;1388.0;-12,0;159.0;-13,1;1710.0;-16,7;8,5
Центральный федеральный округ;356.0;-16,0;42.0;-33,3;447.0;-17,7;8,6
Белгородская область;14.0;27,3;3.0;200,0;19.0;46,2;13,6
Брянская область;4.0;-42,9;1.0;100,0;4.0;-69,2;20,0
Владимирская область;14.0;-36,4;2.0;-75,0;21.0;-34,4;8,7
Воронежская область;22.0;-31,3;3.0;-50,0;27.0;-35,7;10,0
Ивановская область;12.0;-25,0;0.0;-100,0;17.0;-19,0;стаб.
Калужская область;7.0;-30,0;0.0;-100,0;9.0;-10,0;стаб.
Костромская область;13.0;30,0;0.0;-100,0;16.0;стаб.;стаб.
Курская область;15.0;36,4;3.0;стаб.;23.0;4,5;11,5
Липецкая область;18.0;38,5;5.0;150,0;22.0;69,2;18,5
гор. Москва;105.0;-11,8;3.0;-62,5;114.0;-13,0;2,6
Московская область;37.0;-40,3;13.0;-27,8;49.0;-29,0;21,0
Орловская область;6.0;-25,0;0.0;-100,0;6.0;-40,0;стаб.
Рязанская область;11.0;-59,3;3.0;стаб.;19.0;-50,0;13,6
Смоленская область;11.0;10,0;1.0;стаб.;17.0;6,3;5,6
Тамбовская область;10.0;-33,3;0.0;-100,0;11.0;-57,7;стаб.
Тверская область;10.0;-33,3;1.0;-66,7;12.0;-33,3;7,7
Тульская область;30.0;30,4;1.0;-66,7;36.0;-2,7;2,7
Ярославская область;17.0;30,8;3.0;200,0;25.0;56,3;10,7
Северо-Западный федеральный округ;109.0;-12,1;6.0;-33,3;136.0;-18,6;4,2
Республика Карелия;5.0;-37,5;0.0;-100,0;7.0;-12,5;стаб.
Республика Коми;3.0;-62,5;0.0;-100,0;5.0;-54,5;стаб.
Архангельская область;5.0;-28,6;0.0;-100,0;6.0;-25,0;стаб.
Вологодская область;8.0;-60,0;0.0;-100,0;9.0;-65,4;стаб.
Калининградская область;10.0;25,0;0.0;-100,0;12.0;33,3;стаб.
Ленинградская область;8.0;-65,2;2.0;-50,0;10.0;-75,6;16,7
гор. Санкт-Петербург;41.0;13,9;3.0;200,0;42.0;-8,7;6,7
Мурманская область;4.0;стаб.;0.0;-100,0;10.0;42,9;стаб.
Новгородская область;10.0;66,7;1.0;100,0;13.0;85,7;7,1
Псковская область;14.0;250,0;0.0;-100,0;20.0;400,0;стаб.
Ненецкий автономный округ;1.0;100,0;0.0;-100,0;2.0;100,0;стаб.
Южный федеральный округ;164.0;-8,4;31.0;29,2;187.0;-21,1;14,2
Республика Адыгея (Адыгея);6.0;стаб.;4.0;300,0;7.0;стаб.;36,4
Республика Калмыкия;12.0;71,4;1.0;-75,0;15.0;36,4;6,3
Республика Крым;14.0;-6,7;5.0;66,7;15.0;-25,0;25,0
Краснодарский край;76.0;-5,0;10.0;66,7;83.0;-23,9;10,8
Астраханская область;7.0;-41,7;0.0;-100,0;11.0;-26,7;стаб.
Волгоградская область;19.0;-44,1;3.0;50,0;22.0;-56,0;12,0
Ростовская область;24.0;4,3;8.0;33,3;25.0;8,7;24,2
гор. Севастополь;6.0;200,0;0.0;-100,0;9.0;350,0;стаб.
Северо-Кавказский федеральный округ;83.0;3,8;18.0;12,5;111.0;стаб.;14,0
Республика Дагестан;25.0;38,9;8.0;700,0;44.0;37,5;15,4
Республика Ингушетия;4.0;100,0;0.0;-100,0;4.0;стаб.;стаб.
Кабардино-Балкарская Республика;9.0;200,0;1.0;100,0;9.0;200,0;10,0
Карачаево-Черкесская Республика;4.0;-33,3;2.0;100,0;5.0;-37,5;28,6
Республика Северная Осетия-Алания;8.0;-52,9;0.0;-100,0;9.0;-65,4;стаб.
Чеченская Республика;0.0;-100,0;0.0;-100,0;0.0;-100,0;стаб.
Ставропольский край;33.0;3,1;7.0;16,7;40.0;14,3;14,9
Приволжский федеральный округ;281.0;-21,1;24.0;-35,1;337.0;-25,3;6,6
Республика Башкортостан;33.0;-31,3;8.0;-20,0;41.0;-25,5;16,3
Республика Марий Эл;4.0;-63,6;0.0;-100,0;4.0;-66,7;стаб.
Республика Мордовия;6.0;-14,3;0.0;-100,0;7.0;-30,0;стаб.
Республика Татарстан (Татарстан);38.0;-11,6;3.0;50,0;39.0;-25,0;7,1
Удмуртская Республика;20.0;53,8;1.0;стаб.;19.0;26,7;5,0
Чувашская Республика - Чувашия;14.0;стаб.;1.0;стаб.;19.0;18,8;5,0
Пермский край;21.0;-22,2;1.0;-85,7;25.0;-26,5;3,8
Кировская область;14.0;-33,3;0.0;-100,0;19.0;-26,9;стаб.
Нижегородская область;46.0;-23,3;0.0;-100,0;56.0;-27,3;стаб.
Оренбургская область;17.0;112,5;2.0;стаб.;26.0;136,4;7,1
Пензенская область;22.0;69,2;0.0;-100,0;27.0;80,0;стаб.
Самарская область;27.0;-27,0;5.0;66,7;31.0;-42,6;13,9
Саратовская область;12.0;-72,7;3.0;50,0;14.0;-77,8;17,6
Ульяновская область;7.0;-30,0;0.0;-100,0;10.0;-9,1;стаб.
Уральский федеральный округ;111.0;-20,7;9.0;-10,0;154.0;-16,8;5,5
Курганская область;12.0;50,0;1.0;100,0;11.0;10,0;8,3
Свердловская область;29.0;-40,8;4.0;-50,0;33.0;-49,2;10,8
Тюменская область;33.0;50,0;2.0;100,0;53.0;96,3;3,6
Челябинская область;28.0;-39,1;1.0;стаб.;36.0;-40,0;2,7
Ханты-Мансийский автономный округ - Югра;7.0;-36,4;1.0;100,0;19.0;стаб.;5,0
Ямало-Ненецкий автономный округ;2.0;-50,0;0.0;-100,0;2.0;-50,0;стаб.
Сибирский федеральный округ;184.0;4,0;18.0;20,0;215.0;-12,2;7,7
Республика Алтай;3.0;-25,0;1.0;100,0;5.0;-16,7;16,7
Республика Тыва;5.0;-16,7;0.0;-100,0;9.0;80,0;стаб.
Республика Хакасия;5.0;-28,6;0.0;-100,0;5.0;-54,5;стаб.
Алтайский край;35.0;94,4;2.0;100,0;38.0;46,2;5,0
Красноярский край;36.0;2,9;5.0;400,0;38.0;-19,1;11,6
Иркутская область;20.0;-9,1;1.0;100,0;22.0;-26,7;4,3
Кемеровская область - Кузбасс;27.0;стаб.;6.0;200,0;31.0;-24,4;16,2
Новосибирская область;28.0;-9,7;2.0;-60,0;38.0;-7,3;5,0
Омская область;22.0;-12,0;0.0;-100,0;27.0;-25,0;стаб.
Томская область;3.0;50,0;1.0;100,0;2.0;стаб.;33,3
Дальневосточный федеральный округ;100.0;3,1;11.0;22,2;123.0;7,0;8,2
Республика Бурятия;12.0;50,0;2.0;100,0;14.0;55,6;12,5
Республика Саха (Якутия);6.0;-57,1;2.0;стаб.;4.0;-69,2;33,3
Забайкальский край;12.0;20,0;2.0;100,0;14.0;стаб.;12,5
Приморский край;24.0;-7,7;2.0;-50,0;29.0;-6,5;6,5
Камчатский край;5.0;400,0;0.0;-100,0;5.0;400,0;стаб.
Хабаровский край;23.0;76,9;1.0;100,0;35.0;150,0;2,8
Амурская область;11.0;-42,1;2.0;100,0;12.0;-57,1;14,3
Магаданская область;3.0;200,0;0.0;-100,0;3.0;200,0;стаб.
Сахалинская область;3.0;стаб.;0.0;-100,0;5.0;66,7;стаб.
Еврейская автономная область;1.0;-50,0;0.0;-100,0;2.0;100,0;стаб.
Чукотский автономный округ;0.0;-100,0;0.0;-100,0;0.0;-100,0;стаб.
Федеральные территории;0.0;-100,0;0.0;-100,0;0.0;-100,0;стаб.
Сириус;0.0;-100,0;0.0;-100,0;0.0;-100,0;стаб.
;;;;;;;;
;;;;;;;;
;;;;;;;;
