произошедшие по четвергам, апрель 2024;;;;;;;; 
;ДТП;;Погибло;;Ранено;;Тяжесть последствий ;
;aбc;± % к АППГ;aбc;± % к АППГ;aбc;± % к АППГ;
1;2;3;4;5;6;7;8
Российская Федерация;1147.0;-4,9;115.0;9,5;1349.0;-8,4;7,9
Центральный федеральный округ;295.0;-0,3;24.0;-4,0;343.0;1,2;6,5
Белгородская область;12.0;9,1;2.0;100,0;12.0;-20,0;14,3
Брянская область;2.0;-33,3;0.0;-100,0;3.0;-25,0;стаб.
Владимирская область;12.0;-14,3;1.0;-50,0;15.0;-21,1;6,3
Воронежская область;27.0;28,6;1.0;-50,0;31.0;29,2;3,1
Ивановская область;6.0;-40,0;0.0;-100,0;10.0;-16,7;стаб.
Калужская область;8.0;60,0;0.0;-100,0;8.0;60,0;стаб.
Костромская область;7.0;стаб.;2.0;100,0;6.0;-14,3;25,0
Курская область;8.0;стаб.;0.0;-100,0;10.0;стаб.;стаб.
Липецкая область;11.0;стаб.;0.0;-100,0;12.0;9,1;стаб.
гор. Москва;88.0;стаб.;2.0;-33,3;94.0;2,2;2,1
Московская область;38.0;-17,4;4.0;-55,6;42.0;-19,2;8,7
Орловская область;5.0;-28,6;0.0;-100,0;9.0;стаб.;стаб.
Рязанская область;13.0;-13,3;2.0;100,0;18.0;стаб.;10,0
Смоленская область;7.0;стаб.;0.0;-100,0;15.0;87,5;стаб.
Тамбовская область;14.0;100,0;6.0;100,0;20.0;150,0;23,1
Тверская область;12.0;33,3;1.0;100,0;12.0;9,1;7,7
Тульская область;16.0;стаб.;3.0;100,0;17.0;-19,0;15,0
Ярославская область;9.0;-18,2;0.0;-100,0;9.0;-30,8;стаб.
Северо-Западный федеральный округ;97.0;-10,2;11.0;120,0;99.0;-14,7;10,0
Республика Карелия;1.0;-66,7;0.0;-100,0;1.0;-66,7;стаб.
Республика Коми;4.0;-42,9;0.0;-100,0;4.0;-50,0;стаб.
Архангельская область;10.0;42,9;4.0;100,0;10.0;42,9;28,6
Вологодская область;14.0;стаб.;0.0;-100,0;16.0;-11,1;стаб.
Калининградская область;15.0;50,0;5.0;150,0;13.0;44,4;27,8
Ленинградская область;11.0;-15,4;1.0;стаб.;11.0;-15,4;8,3
гор. Санкт-Петербург;27.0;-34,1;1.0;100,0;26.0;-40,9;3,7
Мурманская область;6.0;100,0;0.0;-100,0;9.0;200,0;стаб.
Новгородская область;8.0;стаб.;0.0;-100,0;8.0;-11,1;стаб.
Псковская область;1.0;-50,0;0.0;-100,0;1.0;-50,0;стаб.
Ненецкий автономный округ;0.0;-100,0;0.0;-100,0;0.0;-100,0;стаб.
Южный федеральный округ;151.0;3,4;14.0;стаб.;194.0;8,4;6,7
Республика Адыгея (Адыгея);6.0;20,0;0.0;-100,0;6.0;стаб.;стаб.
Республика Калмыкия;6.0;200,0;0.0;-100,0;9.0;125,0;стаб.
Республика Крым;11.0;22,2;1.0;стаб.;12.0;9,1;7,7
Краснодарский край;50.0;-15,3;7.0;-12,5;65.0;-8,5;9,7
Астраханская область;15.0;-6,3;0.0;-100,0;20.0;стаб.;стаб.
Волгоградская область;31.0;10,7;2.0;100,0;42.0;2,4;4,5
Ростовская область;25.0;8,7;2.0;-50,0;28.0;27,3;6,7
гор. Севастополь;7.0;75,0;2.0;100,0;12.0;200,0;14,3
Северо-Кавказский федеральный округ;68.0;13,3;12.0;300,0;82.0;-6,8;12,8
Республика Дагестан;16.0;-15,8;4.0;100,0;21.0;-34,4;16,0
Республика Ингушетия;4.0;-20,0;3.0;200,0;6.0;-14,3;33,3
Кабардино-Балкарская Республика;8.0;60,0;1.0;100,0;8.0;60,0;11,1
Карачаево-Черкесская Республика;3.0;стаб.;0.0;-100,0;3.0;стаб.;стаб.
Республика Северная Осетия-Алания;10.0;25,0;2.0;100,0;12.0;-25,0;14,3
Чеченская Республика;0.0;-100,0;0.0;-100,0;0.0;-100,0;стаб.
Ставропольский край;27.0;42,1;2.0;100,0;32.0;28,0;5,9
Приволжский федеральный округ;223.0;-21,5;22.0;-8,3;254.0;-30,6;8,0
Республика Башкортостан;22.0;-43,6;1.0;-50,0;24.0;-52,0;4,0
Республика Марий Эл;4.0;-20,0;0.0;-100,0;4.0;-42,9;стаб.
Республика Мордовия;5.0;-16,7;1.0;стаб.;5.0;стаб.;16,7
Республика Татарстан (Татарстан);38.0;-13,6;6.0;50,0;43.0;-14,0;12,2
Удмуртская Республика;11.0;-15,4;1.0;-50,0;12.0;стаб.;7,7
Чувашская Республика - Чувашия;7.0;стаб.;0.0;-100,0;12.0;71,4;стаб.
Пермский край;15.0;66,7;1.0;стаб.;18.0;80,0;5,3
Кировская область;12.0;-40,0;0.0;-100,0;15.0;-70,6;стаб.
Нижегородская область;33.0;-29,8;1.0;-50,0;34.0;-40,4;2,9
Оренбургская область;9.0;-35,7;3.0;50,0;6.0;-62,5;33,3
Пензенская область;15.0;15,4;2.0;100,0;19.0;-17,4;9,5
Самарская область;27.0;-15,6;3.0;стаб.;31.0;-18,4;8,8
Саратовская область;21.0;-12,5;3.0;-40,0;25.0;-10,7;10,7
Ульяновская область;4.0;-63,6;0.0;-100,0;6.0;-50,0;стаб.
Уральский федеральный округ;82.0;-32,2;5.0;-61,5;96.0;-27,8;5,0
Курганская область;5.0;-16,7;1.0;100,0;4.0;-50,0;20,0
Свердловская область;16.0;-36,0;0.0;-100,0;23.0;-17,9;стаб.
Тюменская область;17.0;-55,3;1.0;100,0;23.0;-48,9;4,2
Челябинская область;36.0;-7,7;2.0;-77,8;35.0;-7,9;5,4
Ханты-Мансийский автономный округ - Югра;7.0;-22,2;1.0;100,0;10.0;-9,1;9,1
Ямало-Ненецкий автономный округ;1.0;-75,0;0.0;-100,0;1.0;-66,7;стаб.
Сибирский федеральный округ;149.0;31,9;17.0;54,5;167.0;4,4;9,2
Республика Алтай;2.0;100,0;0.0;-100,0;2.0;100,0;стаб.
Республика Тыва;4.0;-33,3;1.0;-50,0;5.0;-28,6;16,7
Республика Хакасия;4.0;33,3;0.0;-100,0;4.0;-50,0;стаб.
Алтайский край;22.0;57,1;5.0;100,0;23.0;27,8;17,9
Красноярский край;25.0;38,9;2.0;стаб.;25.0;стаб.;7,4
Иркутская область;23.0;35,3;1.0;-75,0;27.0;3,8;3,6
Кемеровская область - Кузбасс;22.0;57,1;4.0;300,0;28.0;33,3;12,5
Новосибирская область;27.0;107,7;4.0;100,0;27.0;80,0;12,9
Омская область;17.0;-29,2;0.0;-100,0;22.0;-38,9;стаб.
Томская область;3.0;стаб.;0.0;-100,0;4.0;33,3;стаб.
Дальневосточный федеральный округ;82.0;7,9;10.0;стаб.;114.0;29,5;8,1
Республика Бурятия;14.0;-6,7;3.0;-25,0;15.0;-16,7;16,7
Республика Саха (Якутия);6.0;-14,3;1.0;стаб.;14.0;133,3;6,7
Забайкальский край;7.0;стаб.;3.0;100,0;11.0;22,2;21,4
Приморский край;25.0;13,6;2.0;стаб.;33.0;43,5;5,7
Камчатский край;2.0;-33,3;0.0;-100,0;2.0;-66,7;стаб.
Хабаровский край;9.0;-18,2;0.0;-100,0;10.0;-16,7;стаб.
Амурская область;11.0;57,1;0.0;-100,0;14.0;55,6;стаб.
Магаданская область;3.0;200,0;0.0;-100,0;9.0;800,0;стаб.
Сахалинская область;2.0;стаб.;1.0;100,0;1.0;-50,0;50,0
Еврейская автономная область;2.0;100,0;0.0;-100,0;2.0;стаб.;стаб.
Чукотский автономный округ;1.0;100,0;0.0;-100,0;3.0;100,0;стаб.
Федеральные территории;0.0;-100,0;0.0;-100,0;0.0;-100,0;стаб.
Сириус;0.0;-100,0;0.0;-100,0;0.0;-100,0;стаб.
;;;;;;;;
;;;;;;;;
;;;;;;;;
