произошедшие с 09 по 10 часов, апрель 2024;;;;;;;; 
;ДТП;;Погибло;;Ранено;;Тяжесть последствий ;
;aбc;± % к АППГ;aбc;± % к АППГ;aбc;± % к АППГ;
1;2;3;4;5;6;7;8
Российская Федерация;373.0;-8,4;34.0;61,9;461.0;-16,2;6,9
Центральный федеральный округ;99.0;стаб.;6.0;-14,3;122.0;4,3;4,7
Белгородская область;4.0;33,3;0.0;-100,0;7.0;133,3;стаб.
Брянская область;1.0;-50,0;0.0;-100,0;1.0;стаб.;стаб.
Владимирская область;3.0;-40,0;0.0;-100,0;4.0;-55,6;стаб.
Воронежская область;4.0;-42,9;1.0;100,0;8.0;-27,3;11,1
Ивановская область;4.0;100,0;1.0;100,0;8.0;100,0;11,1
Калужская область;2.0;-60,0;0.0;-100,0;4.0;-20,0;стаб.
Костромская область;5.0;150,0;0.0;-100,0;5.0;150,0;стаб.
Курская область;4.0;-20,0;0.0;-100,0;4.0;-42,9;стаб.
Липецкая область;2.0;стаб.;1.0;100,0;5.0;150,0;16,7
гор. Москва;33.0;13,8;1.0;100,0;33.0;13,8;2,9
Московская область;11.0;стаб.;1.0;-50,0;11.0;-15,4;8,3
Орловская область;1.0;-66,7;0.0;-100,0;3.0;-50,0;стаб.
Рязанская область;5.0;66,7;0.0;-100,0;6.0;100,0;стаб.
Смоленская область;2.0;-66,7;1.0;стаб.;1.0;-80,0;50,0
Тамбовская область;5.0;400,0;0.0;-100,0;5.0;400,0;стаб.
Тверская область;4.0;33,3;0.0;-100,0;4.0;33,3;стаб.
Тульская область;3.0;-57,1;0.0;-100,0;5.0;-54,5;стаб.
Ярославская область;6.0;20,0;0.0;-100,0;8.0;33,3;стаб.
Северо-Западный федеральный округ;46.0;70,4;5.0;100,0;54.0;58,8;8,5
Республика Карелия;2.0;стаб.;0.0;-100,0;5.0;66,7;стаб.
Республика Коми;4.0;100,0;0.0;-100,0;4.0;100,0;стаб.
Архангельская область;1.0;-50,0;1.0;100,0;0.0;-100,0;стаб.
Вологодская область;1.0;-50,0;0.0;-100,0;1.0;-50,0;стаб.
Калининградская область;8.0;100,0;3.0;100,0;9.0;125,0;25,0
Ленинградская область;5.0;25,0;1.0;100,0;5.0;-16,7;16,7
гор. Санкт-Петербург;15.0;66,7;0.0;-100,0;15.0;66,7;стаб.
Мурманская область;3.0;50,0;0.0;-100,0;6.0;стаб.;стаб.
Новгородская область;5.0;100,0;0.0;-100,0;7.0;100,0;стаб.
Псковская область;2.0;100,0;0.0;-100,0;2.0;100,0;стаб.
Ненецкий автономный округ;0.0;-100,0;0.0;-100,0;0.0;-100,0;стаб.
Южный федеральный округ;56.0;7,7;6.0;500,0;60.0;-31,0;9,1
Республика Адыгея (Адыгея);2.0;100,0;0.0;-100,0;2.0;100,0;стаб.
Республика Калмыкия;2.0;-50,0;0.0;-100,0;2.0;-66,7;стаб.
Республика Крым;4.0;стаб.;0.0;-100,0;4.0;-33,3;стаб.
Краснодарский край;22.0;-4,3;2.0;100,0;23.0;-17,9;8,0
Астраханская область;2.0;стаб.;0.0;-100,0;2.0;стаб.;стаб.
Волгоградская область;11.0;57,1;0.0;-100,0;15.0;-16,7;стаб.
Ростовская область;12.0;20,0;4.0;100,0;10.0;-60,0;28,6
гор. Севастополь;1.0;стаб.;0.0;-100,0;2.0;100,0;стаб.
Северо-Кавказский федеральный округ;23.0;4,5;4.0;33,3;27.0;-15,6;12,9
Республика Дагестан;4.0;33,3;0.0;-100,0;6.0;20,0;стаб.
Республика Ингушетия;1.0;-66,7;0.0;-100,0;1.0;-75,0;стаб.
Кабардино-Балкарская Республика;3.0;-40,0;1.0;100,0;3.0;-50,0;25,0
Карачаево-Черкесская Республика;1.0;стаб.;1.0;100,0;1.0;стаб.;50,0
Республика Северная Осетия-Алания;4.0;стаб.;0.0;-100,0;4.0;-55,6;стаб.
Чеченская Республика;0.0;-100,0;0.0;-100,0;0.0;-100,0;стаб.
Ставропольский край;10.0;66,7;2.0;100,0;12.0;71,4;14,3
Приволжский федеральный округ;63.0;-42,7;9.0;200,0;75.0;-53,1;10,7
Республика Башкортостан;3.0;-78,6;0.0;-100,0;3.0;-88,9;стаб.
Республика Марий Эл;1.0;-66,7;0.0;-100,0;1.0;-83,3;стаб.
Республика Мордовия;0.0;-100,0;0.0;-100,0;0.0;-100,0;стаб.
Республика Татарстан (Татарстан);6.0;-57,1;2.0;100,0;5.0;-75,0;28,6
Удмуртская Республика;5.0;-16,7;0.0;-100,0;5.0;-44,4;стаб.
Чувашская Республика - Чувашия;1.0;-50,0;0.0;-100,0;1.0;-50,0;стаб.
Пермский край;4.0;-20,0;0.0;-100,0;5.0;-16,7;стаб.
Кировская область;4.0;-55,6;0.0;-100,0;4.0;-55,6;стаб.
Нижегородская область;13.0;-18,8;1.0;100,0;16.0;-15,8;5,9
Оренбургская область;3.0;стаб.;1.0;100,0;7.0;133,3;12,5
Пензенская область;6.0;-14,3;0.0;-100,0;10.0;-28,6;стаб.
Самарская область;7.0;-41,7;1.0;100,0;7.0;-50,0;12,5
Саратовская область;8.0;60,0;4.0;100,0;8.0;-20,0;33,3
Ульяновская область;2.0;-75,0;0.0;-100,0;3.0;-62,5;стаб.
Уральский федеральный округ;23.0;-11,5;2.0;стаб.;29.0;3,6;6,5
Курганская область;2.0;стаб.;0.0;-100,0;3.0;50,0;стаб.
Свердловская область;6.0;100,0;1.0;стаб.;9.0;50,0;10,0
Тюменская область;6.0;20,0;0.0;-100,0;7.0;40,0;стаб.
Челябинская область;7.0;-36,4;0.0;-100,0;7.0;-30,0;стаб.
Ханты-Мансийский автономный округ - Югра;2.0;-50,0;1.0;100,0;3.0;-25,0;25,0
Ямало-Ненецкий автономный округ;0.0;-100,0;0.0;-100,0;0.0;-100,0;стаб.
Сибирский федеральный округ;42.0;-17,6;1.0;-50,0;59.0;-13,2;1,7
Республика Алтай;0.0;-100,0;0.0;-100,0;0.0;-100,0;стаб.
Республика Тыва;1.0;стаб.;0.0;-100,0;3.0;-25,0;стаб.
Республика Хакасия;1.0;стаб.;0.0;-100,0;2.0;100,0;стаб.
Алтайский край;7.0;133,3;0.0;-100,0;11.0;83,3;стаб.
Красноярский край;9.0;-35,7;1.0;100,0;11.0;-35,3;8,3
Иркутская область;6.0;20,0;0.0;-100,0;6.0;-25,0;стаб.
Кемеровская область - Кузбасс;5.0;стаб.;0.0;-100,0;6.0;стаб.;стаб.
Новосибирская область;6.0;-25,0;0.0;-100,0;13.0;62,5;стаб.
Омская область;7.0;-22,2;0.0;-100,0;7.0;-50,0;стаб.
Томская область;0.0;-100,0;0.0;-100,0;0.0;-100,0;стаб.
Дальневосточный федеральный округ;21.0;10,5;1.0;-66,7;35.0;59,1;2,8
Республика Бурятия;2.0;100,0;0.0;-100,0;4.0;300,0;стаб.
Республика Саха (Якутия);1.0;-66,7;0.0;-100,0;1.0;-83,3;стаб.
Забайкальский край;2.0;-33,3;0.0;-100,0;2.0;стаб.;стаб.
Приморский край;7.0;40,0;0.0;-100,0;7.0;40,0;стаб.
Камчатский край;0.0;-100,0;0.0;-100,0;0.0;-100,0;стаб.
Хабаровский край;2.0;стаб.;0.0;-100,0;2.0;стаб.;стаб.
Амурская область;5.0;66,7;1.0;100,0;17.0;466,7;5,6
Магаданская область;1.0;стаб.;0.0;-100,0;1.0;стаб.;стаб.
Сахалинская область;0.0;-100,0;0.0;-100,0;0.0;-100,0;стаб.
Еврейская автономная область;1.0;100,0;0.0;-100,0;1.0;100,0;стаб.
Чукотский автономный округ;0.0;-100,0;0.0;-100,0;0.0;-100,0;стаб.
Федеральные территории;0.0;-100,0;0.0;-100,0;0.0;-100,0;стаб.
Сириус;0.0;-100,0;0.0;-100,0;0.0;-100,0;стаб.
;;;;;;;;
;;;;;;;;
;;;;;;;;
произошедшие с 10 по 11 часов, апрель 2024;;;;;;;; 
;ДТП;;Погибло;;Ранено;;Тяжесть последствий ;
;aбc;± % к АППГ;aбc;± % к АППГ;aбc;± % к АППГ;
1;2;3;4;5;6;7;8
Российская Федерация;447.0;12,6;39.0;25,8;527.0;2,7;6,9
Центральный федеральный округ;112.0;17,9;7.0;40,0;138.0;13,1;4,8
Белгородская область;6.0;500,0;0.0;-100,0;7.0;250,0;стаб.
Брянская область;1.0;100,0;0.0;-100,0;1.0;100,0;стаб.
Владимирская область;5.0;стаб.;1.0;100,0;6.0;-14,3;14,3
Воронежская область;6.0;50,0;0.0;-100,0;8.0;166,7;стаб.
Ивановская область;4.0;100,0;0.0;-100,0;5.0;150,0;стаб.
Калужская область;3.0;-50,0;0.0;-100,0;3.0;-62,5;стаб.
Костромская область;0.0;-100,0;0.0;-100,0;0.0;-100,0;стаб.
Курская область;3.0;-25,0;0.0;-100,0;3.0;-40,0;стаб.
Липецкая область;2.0;-33,3;0.0;-100,0;3.0;-25,0;стаб.
гор. Москва;37.0;37,0;2.0;100,0;41.0;28,1;4,7
Московская область;17.0;30,8;0.0;-100,0;20.0;25,0;стаб.
Орловская область;2.0;100,0;0.0;-100,0;4.0;100,0;стаб.
Рязанская область;8.0;100,0;2.0;100,0;14.0;180,0;12,5
Смоленская область;5.0;25,0;1.0;100,0;6.0;50,0;14,3
Тамбовская область;3.0;-25,0;0.0;-100,0;4.0;стаб.;стаб.
Тверская область;2.0;стаб.;0.0;-100,0;2.0;-60,0;стаб.
Тульская область;6.0;-40,0;1.0;стаб.;9.0;-52,6;10,0
Ярославская область;2.0;-50,0;0.0;-100,0;2.0;-50,0;стаб.
Северо-Западный федеральный округ;41.0;20,6;2.0;100,0;43.0;16,2;4,4
Республика Карелия;0.0;-100,0;0.0;-100,0;0.0;-100,0;стаб.
Республика Коми;1.0;100,0;0.0;-100,0;1.0;100,0;стаб.
Архангельская область;1.0;стаб.;0.0;-100,0;1.0;стаб.;стаб.
Вологодская область;7.0;16,7;0.0;-100,0;8.0;стаб.;стаб.
Калининградская область;7.0;250,0;1.0;100,0;6.0;200,0;14,3
Ленинградская область;4.0;-42,9;0.0;-100,0;7.0;-12,5;стаб.
гор. Санкт-Петербург;12.0;-7,7;0.0;-100,0;12.0;-7,7;стаб.
Мурманская область;2.0;100,0;0.0;-100,0;2.0;100,0;стаб.
Новгородская область;6.0;200,0;1.0;100,0;5.0;150,0;16,7
Псковская область;1.0;100,0;0.0;-100,0;1.0;100,0;стаб.
Ненецкий автономный округ;0.0;-100,0;0.0;-100,0;0.0;-100,0;стаб.
Южный федеральный округ;58.0;26,1;7.0;133,3;63.0;10,5;10,0
Республика Адыгея (Адыгея);1.0;-75,0;0.0;-100,0;1.0;-75,0;стаб.
Республика Калмыкия;6.0;200,0;0.0;-100,0;6.0;-14,3;стаб.
Республика Крым;6.0;200,0;3.0;100,0;5.0;150,0;37,5
Краснодарский край;22.0;-8,3;3.0;50,0;23.0;-8,0;11,5
Астраханская область;9.0;800,0;0.0;-100,0;11.0;1000,0;стаб.
Волгоградская область;10.0;42,9;0.0;-100,0;13.0;8,3;стаб.
Ростовская область;3.0;стаб.;1.0;100,0;3.0;стаб.;25,0
гор. Севастополь;1.0;-66,7;0.0;-100,0;1.0;-66,7;стаб.
Северо-Кавказский федеральный округ;32.0;39,1;1.0;-83,3;40.0;17,6;2,4
Республика Дагестан;11.0;57,1;0.0;-100,0;14.0;27,3;стаб.
Республика Ингушетия;0.0;-100,0;0.0;-100,0;0.0;-100,0;стаб.
Кабардино-Балкарская Республика;2.0;100,0;0.0;-100,0;2.0;100,0;стаб.
Карачаево-Черкесская Республика;3.0;стаб.;1.0;100,0;5.0;25,0;16,7
Республика Северная Осетия-Алания;4.0;33,3;0.0;-100,0;4.0;стаб.;стаб.
Чеченская Республика;0.0;-100,0;0.0;-100,0;0.0;-100,0;стаб.
Ставропольский край;12.0;20,0;0.0;-100,0;15.0;стаб.;стаб.
Приволжский федеральный округ;78.0;-20,4;14.0;250,0;94.0;-26,6;13,0
Республика Башкортостан;2.0;-80,0;0.0;-100,0;2.0;-83,3;стаб.
Республика Марий Эл;1.0;-75,0;0.0;-100,0;1.0;-80,0;стаб.
Республика Мордовия;1.0;-50,0;0.0;-100,0;1.0;-66,7;стаб.
Республика Татарстан (Татарстан);9.0;-25,0;4.0;300,0;13.0;-13,3;23,5
Удмуртская Республика;7.0;75,0;1.0;стаб.;6.0;100,0;14,3
Чувашская Республика - Чувашия;3.0;стаб.;1.0;100,0;3.0;-40,0;25,0
Пермский край;6.0;стаб.;3.0;100,0;6.0;-25,0;33,3
Кировская область;4.0;-55,6;0.0;-100,0;4.0;-69,2;стаб.
Нижегородская область;9.0;-25,0;0.0;-100,0;14.0;7,7;стаб.
Оренбургская область;3.0;-25,0;0.0;-100,0;3.0;-57,1;стаб.
Пензенская область;6.0;20,0;0.0;-100,0;12.0;71,4;стаб.
Самарская область;10.0;-9,1;1.0;100,0;12.0;стаб.;7,7
Саратовская область;12.0;-14,3;4.0;300,0;11.0;-47,6;26,7
Ульяновская область;5.0;150,0;0.0;-100,0;6.0;50,0;стаб.
Уральский федеральный округ;34.0;6,3;2.0;100,0;38.0;-9,5;5,0
Курганская область;2.0;-33,3;0.0;-100,0;2.0;-71,4;стаб.
Свердловская область;11.0;10,0;1.0;100,0;11.0;-15,4;8,3
Тюменская область;8.0;33,3;0.0;-100,0;12.0;100,0;стаб.
Челябинская область;10.0;стаб.;1.0;100,0;10.0;стаб.;9,1
Ханты-Мансийский автономный округ - Югра;2.0;-33,3;0.0;-100,0;2.0;-66,7;стаб.
Ямало-Ненецкий автономный округ;1.0;100,0;0.0;-100,0;1.0;100,0;стаб.
Сибирский федеральный округ;66.0;61,0;5.0;-37,5;76.0;52,0;6,2
Республика Алтай;2.0;100,0;0.0;-100,0;3.0;100,0;стаб.
Республика Тыва;1.0;стаб.;0.0;-100,0;2.0;-50,0;стаб.
Республика Хакасия;1.0;-50,0;0.0;-100,0;3.0;-25,0;стаб.
Алтайский край;11.0;83,3;0.0;-100,0;14.0;100,0;стаб.
Красноярский край;13.0;30,0;2.0;100,0;13.0;8,3;13,3
Иркутская область;11.0;450,0;0.0;-100,0;13.0;550,0;стаб.
Кемеровская область - Кузбасс;11.0;83,3;3.0;100,0;11.0;83,3;21,4
Новосибирская область;7.0;40,0;0.0;-100,0;7.0;16,7;стаб.
Омская область;8.0;стаб.;0.0;-100,0;9.0;12,5;стаб.
Томская область;1.0;стаб.;0.0;-100,0;1.0;стаб.;стаб.
Дальневосточный федеральный округ;26.0;-7,1;1.0;-66,7;35.0;-18,6;2,8
Республика Бурятия;6.0;100,0;1.0;стаб.;7.0;250,0;12,5
Республика Саха (Якутия);3.0;-25,0;0.0;-100,0;4.0;стаб.;стаб.
Забайкальский край;1.0;-66,7;0.0;-100,0;1.0;-75,0;стаб.
Приморский край;7.0;133,3;0.0;-100,0;9.0;200,0;стаб.
Камчатский край;1.0;стаб.;0.0;-100,0;1.0;-66,7;стаб.
Хабаровский край;2.0;-60,0;0.0;-100,0;4.0;-66,7;стаб.
Амурская область;3.0;-66,7;0.0;-100,0;4.0;-73,3;стаб.
Магаданская область;1.0;100,0;0.0;-100,0;3.0;100,0;стаб.
Сахалинская область;2.0;100,0;0.0;-100,0;2.0;100,0;стаб.
Еврейская автономная область;0.0;-100,0;0.0;-100,0;0.0;-100,0;стаб.
Чукотский автономный округ;0.0;-100,0;0.0;-100,0;0.0;-100,0;стаб.
Федеральные территории;0.0;-100,0;0.0;-100,0;0.0;-100,0;стаб.
Сириус;0.0;-100,0;0.0;-100,0;0.0;-100,0;стаб.
;;;;;;;;
;;;;;;;;
;;;;;;;;
произошедшие с 11 по 12 часов, апрель 2024;;;;;;;; 
;ДТП;;Погибло;;Ранено;;Тяжесть последствий ;
;aбc;± % к АППГ;aбc;± % к АППГ;aбc;± % к АППГ;
1;2;3;4;5;6;7;8
Российская Федерация;501.0;3,7;30.0;-14,3;614.0;-1,9;4,7
Центральный федеральный округ;140.0;13,8;16.0;77,8;160.0;6,7;9,1
Белгородская область;6.0;500,0;2.0;100,0;5.0;400,0;28,6
Брянская область;1.0;-75,0;0.0;-100,0;1.0;-75,0;стаб.
Владимирская область;2.0;-66,7;2.0;стаб.;1.0;-88,9;66,7
Воронежская область;6.0;-33,3;0.0;-100,0;8.0;-20,0;стаб.
Ивановская область;9.0;350,0;0.0;-100,0;13.0;550,0;стаб.
Калужская область;9.0;200,0;1.0;100,0;9.0;200,0;10,0
Костромская область;3.0;100,0;1.0;100,0;2.0;100,0;33,3
Курская область;3.0;50,0;0.0;-100,0;4.0;-42,9;стаб.
Липецкая область;4.0;-33,3;0.0;-100,0;5.0;-58,3;стаб.
гор. Москва;40.0;14,3;1.0;-66,7;44.0;15,8;2,2
Московская область;12.0;-33,3;2.0;100,0;10.0;-44,4;16,7
Орловская область;6.0;200,0;0.0;-100,0;8.0;166,7;стаб.
Рязанская область;4.0;стаб.;0.0;-100,0;5.0;25,0;стаб.
Смоленская область;3.0;-25,0;0.0;-100,0;4.0;-20,0;стаб.
Тамбовская область;9.0;12,5;4.0;300,0;11.0;-8,3;26,7
Тверская область;7.0;75,0;1.0;100,0;7.0;75,0;12,5
Тульская область;7.0;стаб.;1.0;100,0;9.0;12,5;10,0
Ярославская область;9.0;12,5;1.0;100,0;14.0;40,0;6,7
Северо-Западный федеральный округ;44.0;25,7;0.0;-100,0;49.0;11,4;стаб.
Республика Карелия;1.0;-50,0;0.0;-100,0;2.0;стаб.;стаб.
Республика Коми;0.0;-100,0;0.0;-100,0;0.0;-100,0;стаб.
Архангельская область;3.0;200,0;0.0;-100,0;3.0;200,0;стаб.
Вологодская область;4.0;100,0;0.0;-100,0;5.0;66,7;стаб.
Калининградская область;4.0;-55,6;0.0;-100,0;5.0;-50,0;стаб.
Ленинградская область;4.0;-33,3;0.0;-100,0;4.0;-33,3;стаб.
гор. Санкт-Петербург;22.0;83,3;0.0;-100,0;23.0;21,1;стаб.
Мурманская область;2.0;100,0;0.0;-100,0;2.0;100,0;стаб.
Новгородская область;3.0;200,0;0.0;-100,0;4.0;300,0;стаб.
Псковская область;1.0;100,0;0.0;-100,0;1.0;100,0;стаб.
Ненецкий автономный округ;0.0;-100,0;0.0;-100,0;0.0;-100,0;стаб.
Южный федеральный округ;64.0;1,6;3.0;-40,0;87.0;4,8;3,3
Республика Адыгея (Адыгея);3.0;50,0;0.0;-100,0;4.0;33,3;стаб.
Республика Калмыкия;2.0;100,0;0.0;-100,0;2.0;100,0;стаб.
Республика Крым;5.0;стаб.;0.0;-100,0;10.0;42,9;стаб.
Краснодарский край;29.0;26,1;2.0;100,0;36.0;33,3;5,3
Астраханская область;4.0;-50,0;0.0;-100,0;4.0;-75,0;стаб.
Волгоградская область;9.0;12,5;0.0;-100,0;16.0;33,3;стаб.
Ростовская область;10.0;-33,3;1.0;-66,7;13.0;-18,8;7,1
гор. Севастополь;2.0;100,0;0.0;-100,0;2.0;100,0;стаб.
Северо-Кавказский федеральный округ;28.0;стаб.;1.0;-75,0;42.0;-6,7;2,3
Республика Дагестан;7.0;75,0;0.0;-100,0;10.0;-9,1;стаб.
Республика Ингушетия;3.0;200,0;0.0;-100,0;9.0;800,0;стаб.
Кабардино-Балкарская Республика;2.0;100,0;0.0;-100,0;5.0;400,0;стаб.
Карачаево-Черкесская Республика;1.0;100,0;0.0;-100,0;1.0;100,0;стаб.
Республика Северная Осетия-Алания;0.0;-100,0;0.0;-100,0;0.0;-100,0;стаб.
Чеченская Республика;0.0;-100,0;0.0;-100,0;0.0;-100,0;стаб.
Ставропольский край;15.0;15,4;1.0;-66,7;17.0;13,3;5,6
Приволжский федеральный округ;95.0;-2,1;3.0;-40,0;118.0;-4,8;2,5
Республика Башкортостан;16.0;128,6;0.0;-100,0;18.0;100,0;стаб.
Республика Марий Эл;0.0;-100,0;0.0;-100,0;0.0;-100,0;стаб.
Республика Мордовия;1.0;-66,7;1.0;100,0;0.0;-100,0;стаб.
Республика Татарстан (Татарстан);14.0;-26,3;0.0;-100,0;17.0;-29,2;стаб.
Удмуртская Республика;2.0;-50,0;0.0;-100,0;2.0;-60,0;стаб.
Чувашская Республика - Чувашия;0.0;-100,0;0.0;-100,0;0.0;-100,0;стаб.
Пермский край;8.0;33,3;1.0;100,0;11.0;83,3;8,3
Кировская область;5.0;-28,6;0.0;-100,0;8.0;стаб.;стаб.
Нижегородская область;18.0;50,0;0.0;-100,0;21.0;23,5;стаб.
Оренбургская область;3.0;200,0;0.0;-100,0;3.0;50,0;стаб.
Пензенская область;6.0;-14,3;1.0;100,0;5.0;-58,3;16,7
Самарская область;8.0;-50,0;0.0;-100,0;10.0;-41,2;стаб.
Саратовская область;12.0;стаб.;0.0;-100,0;21.0;31,3;стаб.
Ульяновская область;2.0;100,0;0.0;-100,0;2.0;100,0;стаб.
Уральский федеральный округ;39.0;-15,2;1.0;-50,0;52.0;-14,8;1,9
Курганская область;4.0;100,0;0.0;-100,0;4.0;100,0;стаб.
Свердловская область;7.0;-46,2;1.0;стаб.;9.0;-50,0;10,0
Тюменская область;11.0;22,2;0.0;-100,0;14.0;55,6;стаб.
Челябинская область;16.0;-15,8;0.0;-100,0;23.0;-14,8;стаб.
Ханты-Мансийский автономный округ - Югра;1.0;стаб.;0.0;-100,0;2.0;стаб.;стаб.
Ямало-Ненецкий автономный округ;0.0;-100,0;0.0;-100,0;0.0;-100,0;стаб.
Сибирский федеральный округ;62.0;12,7;4.0;-20,0;71.0;-9,0;5,3
Республика Алтай;2.0;100,0;0.0;-100,0;3.0;100,0;стаб.
Республика Тыва;0.0;-100,0;0.0;-100,0;0.0;-100,0;стаб.
Республика Хакасия;0.0;-100,0;0.0;-100,0;0.0;-100,0;стаб.
Алтайский край;16.0;45,5;0.0;-100,0;20.0;стаб.;стаб.
Красноярский край;13.0;44,4;0.0;-100,0;14.0;55,6;стаб.
Иркутская область;10.0;233,3;2.0;100,0;11.0;175,0;15,4
Кемеровская область - Кузбасс;4.0;-33,3;0.0;-100,0;4.0;-20,0;стаб.
Новосибирская область;7.0;-46,2;2.0;-33,3;8.0;-66,7;20,0
Омская область;9.0;-10,0;0.0;-100,0;10.0;-9,1;стаб.
Томская область;1.0;100,0;0.0;-100,0;1.0;100,0;стаб.
Дальневосточный федеральный округ;29.0;-19,4;2.0;-50,0;35.0;-14,6;5,4
Республика Бурятия;3.0;-25,0;0.0;-100,0;3.0;-25,0;стаб.
Республика Саха (Якутия);3.0;-40,0;0.0;-100,0;3.0;-40,0;стаб.
Забайкальский край;1.0;-75,0;0.0;-100,0;1.0;-75,0;стаб.
Приморский край;7.0;-50,0;0.0;-100,0;8.0;-55,6;стаб.
Камчатский край;2.0;100,0;0.0;-100,0;2.0;100,0;стаб.
Хабаровский край;8.0;60,0;2.0;стаб.;8.0;166,7;20,0
Амурская область;1.0;-75,0;0.0;-100,0;1.0;-85,7;стаб.
Магаданская область;2.0;100,0;0.0;-100,0;7.0;100,0;стаб.
Сахалинская область;0.0;-100,0;0.0;-100,0;0.0;-100,0;стаб.
Еврейская автономная область;1.0;100,0;0.0;-100,0;1.0;100,0;стаб.
Чукотский автономный округ;1.0;100,0;0.0;-100,0;1.0;100,0;стаб.
Федеральные территории;0.0;-100,0;0.0;-100,0;0.0;-100,0;стаб.
Сириус;0.0;-100,0;0.0;-100,0;0.0;-100,0;стаб.
;;;;;;;;
;;;;;;;;
;;;;;;;;
