  водителями-женщинами, апрель 2024;;;;;;;; 
;ДТП;;Погибло;;Ранено;;Тяжесть последствий ;
;aбc;± % к АППГ;aбc;± % к АППГ;aбc;± % к АППГ;
1;2;3;4;5;6;7;8
Российская Федерация;1248.0;3,0;80.0;19,4;1567.0;-1,4;4,9
Центральный федеральный округ;297.0;-6,0;22.0;37,5;371.0;-6,8;5,6
Белгородская область;14.0;55,6;1.0;100,0;20.0;66,7;4,8
Брянская область;6.0;100,0;2.0;100,0;8.0;33,3;20,0
Владимирская область;10.0;-52,4;0.0;-100,0;15.0;-44,4;стаб.
Воронежская область;19.0;стаб.;5.0;400,0;20.0;-25,9;20,0
Ивановская область;10.0;100,0;0.0;-100,0;12.0;140,0;стаб.
Калужская область;12.0;20,0;0.0;-100,0;16.0;45,5;стаб.
Костромская область;9.0;12,5;1.0;100,0;11.0;22,2;8,3
Курская область;11.0;10,0;0.0;-100,0;12.0;-25,0;стаб.
Липецкая область;11.0;-56,0;3.0;стаб.;14.0;-46,2;17,6
гор. Москва;102.0;22,9;0.0;-100,0;119.0;30,8;стаб.
Московская область;32.0;-17,9;8.0;100,0;36.0;-36,8;18,2
Орловская область;6.0;-14,3;0.0;-100,0;12.0;33,3;стаб.
Рязанская область;10.0;-41,2;0.0;-100,0;19.0;-17,4;стаб.
Смоленская область;6.0;-53,8;0.0;-100,0;8.0;-50,0;стаб.
Тамбовская область;10.0;-23,1;1.0;стаб.;14.0;-6,7;6,7
Тверская область;10.0;-16,7;0.0;-100,0;14.0;-22,2;стаб.
Тульская область;14.0;-6,7;1.0;стаб.;15.0;-21,1;6,3
Ярославская область;5.0;-28,6;0.0;-100,0;6.0;-45,5;стаб.
Северо-Западный федеральный округ;119.0;20,2;4.0;-20,0;144.0;11,6;2,7
Республика Карелия;4.0;100,0;0.0;-100,0;7.0;250,0;стаб.
Республика Коми;4.0;стаб.;0.0;-100,0;5.0;-37,5;стаб.
Архангельская область;3.0;-40,0;0.0;-100,0;3.0;-40,0;стаб.
Вологодская область;10.0;-16,7;0.0;-100,0;10.0;-37,5;стаб.
Калининградская область;18.0;20,0;3.0;200,0;18.0;12,5;14,3
Ленинградская область;13.0;-27,8;1.0;-66,7;16.0;-48,4;5,9
гор. Санкт-Петербург;38.0;18,8;0.0;-100,0;50.0;28,2;стаб.
Мурманская область;5.0;66,7;0.0;-100,0;5.0;66,7;стаб.
Новгородская область;14.0;250,0;0.0;-100,0;18.0;350,0;стаб.
Псковская область;10.0;150,0;0.0;-100,0;12.0;140,0;стаб.
Ненецкий автономный округ;0.0;-100,0;0.0;-100,0;0.0;-100,0;стаб.
Южный федеральный округ;183.0;18,1;12.0;-25,0;233.0;14,8;4,9
Республика Адыгея (Адыгея);7.0;-12,5;0.0;-100,0;10.0;-23,1;стаб.
Республика Калмыкия;6.0;20,0;0.0;-100,0;9.0;12,5;стаб.
Республика Крым;13.0;-7,1;0.0;-100,0;15.0;-28,6;стаб.
Краснодарский край;76.0;-2,6;6.0;-40,0;98.0;1,0;5,8
Астраханская область;15.0;50,0;0.0;-100,0;22.0;83,3;стаб.
Волгоградская область;26.0;44,4;0.0;-100,0;31.0;29,2;стаб.
Ростовская область;32.0;100,0;6.0;100,0;40.0;90,5;13,0
гор. Севастополь;8.0;33,3;0.0;-100,0;8.0;14,3;стаб.
Северо-Кавказский федеральный округ;61.0;10,9;7.0;250,0;93.0;16,3;7,0
Республика Дагестан;10.0;150,0;0.0;-100,0;23.0;187,5;стаб.
Республика Ингушетия;1.0;100,0;0.0;-100,0;2.0;100,0;стаб.
Кабардино-Балкарская Республика;8.0;60,0;0.0;-100,0;11.0;175,0;стаб.
Карачаево-Черкесская Республика;3.0;-50,0;1.0;100,0;5.0;-50,0;16,7
Республика Северная Осетия-Алания;13.0;225,0;0.0;-100,0;19.0;171,4;стаб.
Чеченская Республика;0.0;-100,0;0.0;-100,0;0.0;-100,0;стаб.
Ставропольский край;26.0;-25,7;6.0;100,0;33.0;-34,0;15,4
Приволжский федеральный округ;230.0;-6,5;19.0;171,4;256.0;-23,1;6,9
Республика Башкортостан;27.0;-22,9;4.0;100,0;29.0;-37,0;12,1
Республика Марий Эл;4.0;100,0;0.0;-100,0;4.0;100,0;стаб.
Республика Мордовия;2.0;-33,3;0.0;-100,0;2.0;-60,0;стаб.
Республика Татарстан (Татарстан);33.0;-8,3;5.0;400,0;31.0;-29,5;13,9
Удмуртская Республика;14.0;40,0;0.0;-100,0;15.0;15,4;стаб.
Чувашская Республика - Чувашия;2.0;-60,0;0.0;-100,0;2.0;-77,8;стаб.
Пермский край;12.0;-20,0;2.0;100,0;11.0;-42,1;15,4
Кировская область;9.0;-35,7;0.0;-100,0;12.0;-29,4;стаб.
Нижегородская область;49.0;25,6;3.0;200,0;57.0;14,0;5,0
Оренбургская область;16.0;6,7;1.0;стаб.;19.0;-5,0;5,0
Пензенская область;13.0;8,3;1.0;100,0;20.0;-28,6;4,8
Самарская область;24.0;-14,3;2.0;-33,3;26.0;-23,5;7,1
Саратовская область;17.0;-10,5;1.0;100,0;17.0;-34,6;5,6
Ульяновская область;8.0;-38,5;0.0;-100,0;11.0;-45,0;стаб.
Уральский федеральный округ;89.0;-21,2;1.0;-83,3;121.0;-14,2;0,8
Курганская область;5.0;-37,5;0.0;-100,0;5.0;-54,5;стаб.
Свердловская область;24.0;-7,7;1.0;-50,0;33.0;-2,9;2,9
Тюменская область;21.0;-38,2;0.0;-100,0;31.0;-18,4;стаб.
Челябинская область;31.0;-20,5;0.0;-100,0;41.0;-21,2;стаб.
Ханты-Мансийский автономный округ - Югра;8.0;60,0;0.0;-100,0;11.0;120,0;стаб.
Ямало-Ненецкий автономный округ;0.0;-100,0;0.0;-100,0;0.0;-100,0;стаб.
Сибирский федеральный округ;160.0;12,7;8.0;-27,3;199.0;4,7;3,9
Республика Алтай;1.0;-50,0;0.0;-100,0;1.0;-50,0;стаб.
Республика Тыва;2.0;стаб.;0.0;-100,0;3.0;50,0;стаб.
Республика Хакасия;6.0;-25,0;0.0;-100,0;10.0;-23,1;стаб.
Алтайский край;33.0;200,0;3.0;200,0;39.0;254,5;7,1
Красноярский край;29.0;-23,7;1.0;-50,0;35.0;-35,2;2,8
Иркутская область;23.0;4,5;3.0;-40,0;32.0;3,2;8,6
Кемеровская область - Кузбасс;28.0;40,0;0.0;-100,0;36.0;63,6;стаб.
Новосибирская область;15.0;-6,3;0.0;-100,0;16.0;-23,8;стаб.
Омская область;19.0;-13,6;1.0;-50,0;22.0;-33,3;4,3
Томская область;4.0;300,0;0.0;-100,0;5.0;400,0;стаб.
Дальневосточный федеральный округ;109.0;28,2;7.0;75,0;150.0;31,6;4,5
Республика Бурятия;15.0;50,0;0.0;-100,0;27.0;170,0;стаб.
Республика Саха (Якутия);6.0;стаб.;1.0;100,0;14.0;55,6;6,7
Забайкальский край;9.0;-30,8;2.0;100,0;10.0;-41,2;16,7
Приморский край;32.0;28,0;2.0;100,0;39.0;8,3;4,9
Камчатский край;2.0;100,0;0.0;-100,0;2.0;100,0;стаб.
Хабаровский край;25.0;108,3;1.0;стаб.;29.0;107,1;3,3
Амурская область;14.0;27,3;1.0;100,0;20.0;53,8;4,8
Магаданская область;2.0;-33,3;0.0;-100,0;3.0;-50,0;стаб.
Сахалинская область;2.0;100,0;0.0;-100,0;3.0;200,0;стаб.
Еврейская автономная область;2.0;-33,3;0.0;-100,0;3.0;-57,1;стаб.
Чукотский автономный округ;0.0;-100,0;0.0;-100,0;0.0;-100,0;стаб.
Федеральные территории;0.0;-100,0;0.0;-100,0;0.0;-100,0;стаб.
Сириус;0.0;-100,0;0.0;-100,0;0.0;-100,0;стаб.
;;;;;;;;
;;;;;;;;
;;;;;;;;
